_id,name,benefits[0],benefits[1],benefits[2],concerns[0],concerns[1],concerns[2]
658addb24c30858dda6d092a,Niacinamide,Anti-Aging,Brightening,Good for Oily Skin,,,
658addb24c30858dda6d092b,Panthenol,Promotes Wound Healing,Good For Dry Skin,,,,
658addb24c30858dda6d092c,Sodium Hyaluronate,Promotes Wound Healing,Good For Dry Skin,,,,
658addb24c30858dda6d092d,Butylene Glycol,Good for Dry Skin,Comedogenic Rating (1),,,,
658addb24c30858dda6d092e,Dimethicone,Comedogenic Rating (1),Good for Oily Skin,,Silicone,,
658addb24c30858dda6d092f,Ceramide 1,Anti-Aging,,,,,
658addb24c30858dda6d0930,Ceramide 6 II,Anti-Aging,,,,,
658addb24c30858dda6d0931,Cetearyl Alcohol,,,,Comedogenic Rating (2),,
658addb24c30858dda6d0932,Glycerin,Good for Dry Skin,,,,,
658addb24c30858dda6d0933,Polyglyceryl-3 Diisostearate,,,,Comedogenic Rating (4),Bad for oily skin,Fungal acne trigger
658addb24c30858dda6d0934,Polysorbate 20,,,,Fungal acne trigger,,
658addb24c30858dda6d0935,Titanium Dioxide,UV Prtection,Good for sensitive skin,,,,
658addb24c30858dda6d0936,Tocopherol,Anti-Aging,Good for Dry skin,,Comedogenic Rating(3),,
658addb24c30858dda6d0937,Ceramide 3,Anti-Aging,,,,,
658addb24c30858dda6d0938,Cetyl Alcohol,,,,Comedogenic Rating(2),,
658addb24c30858dda6d0939,Methylparaben,,,,Paraben,,
658addb24c30858dda6d093a,Prophylparaben,,,,Paraben,,
658addb24c30858dda6d093b,Hyaluronic Acid,,,,Prmotes wound healing,,
658addb24c30858dda6d093c,Stearic Acid,,,,Bad for Oily Skin,Fungal Acne Trigger,Comedogenic Rating (3)
658addb24c30858dda6d093d,Stearyl Alcohol,,,,Comedogenic Rating (2),,
658addb24c30858dda6d093e,Isopropyl Isostearate,,,,Bad for Oily Skin,Fungal Acne Trigger,Comedogenic Rating (5)
658addb24c30858dda6d093f,Aloe Barbadensis Leaf Juice,Good for sensitive skin,,,,,
658addb24c30858dda6d0940,Elastin,Good for Dry skin,Anti-Aging,,,,
658addb24c30858dda6d0941,PEG-100 Stearate,,,,Fungal Acne Trigger,,
658addb24c30858dda6d0942,Allatoin,Good for Oily skin,Good for Sensitive skin,,,,
658addb24c30858dda6d0943,Benzyl Alcohol,,,,Allergens,,
658addb24c30858dda6d0944,Ethylparaben,,,,Paraben,,
658addb24c30858dda6d0945,Propylparaben,,,,Paraben,,
658addb24c30858dda6d0946,Glyceryl Stearate,,,,Fungal Acne Trigger,,
658addb24c30858dda6d0947,Myristyl Alcohol,,,,Comedogenic Rating (2),,
658addb24c30858dda6d0948, Hydrogenated Coco-Glycerides,,,,Fungal Acne Trigger,,
658addb24c30858dda6d0949,Simmondsia Chinensis (Jojoba) Seed Oil ,,,,Fungal Acne Trigger,Comedogenic Rating(2),
658addb24c30858dda6d094a, Lanolin Alcohol,,,,Comedogenic Rating (2),,
658addb24c30858dda6d094b,Tocopheryl Acetate (Vitamin E) ,Anti-Aging,,,,,
658addb24c30858dda6d094c, Alcohol Denat.,,,,Bad for Dry Skin,Bad for Sensitive Skin,Alcohol
658addb24c30858dda6d094d,Petrolatum,,,,Bad for Oily Skin,,
658addb24c30858dda6d094e,Butylparaben,,,,Paraben,,
658addb24c30858dda6d094f,Isobutylparaben,,,,Paraben,,
658addb24c30858dda6d0950,Mineral Oil,,,,Comedogenic Rating (2),,
658addb24c30858dda6d0951, Myristyl Myristate,,,,Bad for Oily Skin,Comedogenic Rating (5),
658addb24c30858dda6d0952,Lauric Acid,,,,Bad for Oily Skin,Comedogenic Rating (4),Fungal Acne Trigger
658addb24c30858dda6d0953,Helianthus Annuus (Sunflower) Seed Oil,,,,Fungal Acne Trigger,,
658addb24c30858dda6d0954,Isostearic Acid,,,, Fungal Acne Trigger,,
658addb24c30858dda6d0955,Glycine Soja (Soybean) Oil,,,,Bad for Oily Skin, Fungal Acne Trigger, Comedogenic Rating (3)
658addb24c30858dda6d0956,Palmitic Acid,,,,Bad for Oily Skin, Fungal Acne Trigger, Comedogenic Rating (2)
658addb24c30858dda6d0957,Sodium Laureth Sulfate,,,,Bad for Oily Skin, Comedogenic Rating (3),Sulfate
658addb24c30858dda6d0958,Hydrogenated Soybean Oil,,,, Fungal Acne Trigger,,
658addb24c30858dda6d0959,Sodium C14-16 Olefin Sulfonate,,,,Sulfate,,
658addb24c30858dda6d095a,Propylene Glycol,Good for Dry Skin,,,,,
658addb24c30858dda6d095b,Potassium Chloride,,,,Bad for Oily Skin,,
