_id,name,brand,description,brand_description,category,reviews[0].reviewer_name,reviews[1].reviewer_name,reviews[2].reviewer_name,reviews[3].reviewer_name,reviews[4].reviewer_name,reviews[5].reviewer_name,reviews[6].reviewer_name,reviews[7].reviewer_name,reviews[8].reviewer_name,reviews[9].reviewer_name,reviews[0].review,reviews[1].review,reviews[2].review,reviews[3].review,reviews[4].review,reviews[5].review,reviews[6].review,reviews[7].review,reviews[8].review,reviews[9].review,reviews[10].review,reviews[11].review,reviews[12].review,reviews[13].review,reviews[14].review,reviews[15].review,reviews[16].review,reviews[17].review,reviews[18].review,reviews[19].review,reviews[20].review,reviews[21].review,reviews[22].review,reviews[23].review,reviews[24].review,reviews[25].review,reviews[26].review,reviews[0].source,reviews[1].source,reviews[2].source,reviews[3].source,reviews[4].source,reviews[5].source,reviews[6].source,reviews[7].source,reviews[8].source,reviews[9].source,reviews[10].source,reviews[11].source,reviews[12].source,reviews[13].source,reviews[14].source,reviews[15].source,reviews[16].source,reviews[17].source,reviews[18].source,reviews[19].source,reviews[20].source,reviews[21].source,reviews[22].source,reviews[23].source,reviews[24].source,reviews[25].source,reviews[26].source,reviews[0].rating,reviews[1].rating,reviews[2].rating,reviews[3].rating,reviews[4].rating,reviews[5].rating,reviews[6].rating,reviews[7].rating,reviews[8].rating,reviews[9].rating,reviews[10].rating,reviews[11].rating,reviews[12].rating,reviews[13].rating,reviews[14].rating,reviews[15].rating,reviews[16].rating,reviews[17].rating,reviews[18].rating,reviews[19].rating,reviews[20].rating,reviews[21].rating,reviews[22].rating,reviews[23].rating,reviews[24].rating,reviews[25].rating,reviews[26].rating,sustainability_claims,eco_score,manufacturer,country_of_origin,barcode[0],image_url,image_name,tags[0],nutrition.Sugar,nutrition.SaturatedFat,nutrition.Energy,nutrition.Fruit&Nut,nutrition.Fiber,ingredients[0],ingredients[1],ingredients[2],ingredients[3],ingredients[4],ingredients[5],ingredients[6],ingredients[7],ingredients[8],ingredients[9],ingredients[10],ingredients[11],ingredients[12],ingredients[13],ingredients[14],ingredients[15],ingredients[16],ingredients[17],ingredients[18],ingredients[19],ingredients[20],ingredients[21],ingredients[22],ingredients[23],ingredients[24],ingredients[25],ingredients[26],ingredients[27],ingredients[28],ingredients[29],ingredients[30],ingredients[31],ingredients[32],ingredients[33],ingredients[34],ingredients[35],ingredients[36],ingredients[37],ingredients[38],ingredients[39],ingredients[40],ingredients[41],ingredients[42],ingredients[43],ingredients[44],ingredients[45],ingredients[46],ingredients[47],ingredients[48],ingredients[49],ingredients[50],ingredients[51],ingredients[52],ingredients[53],ingredients[54],ingredients[55],ingredients[56],ingredients[57],ingredients[58],ingredients[59],ingredients[60],ingredients[61],ingredients[62],ingredients[63],ingredients[64],ingredients[65],ingredients[66],ingredients[67],ingredients[68],ingredients[69],ingredients[70],ingredients[71],ingredients[72],ingredients[73],ingredients[74],allergens,barcode,nutrition.Protein,nutrition.Sodium,price[0].price,price[1].price,price[2].price,price[0].source,price[1].source,price[2].source,offers[0].source,offers[1].source,offers[0].offers,offers[1].offers,manufacture_date,expiry_date,Eco-Score,reviews,nutrition,ingredients.Energy,ingredients.SaturatedFat,ingredients.Sugar,ingredients.Fiber,ingredients.Protein,ingredients.Sodium,ingredients.Fruit&Nut,E-Score,ingredients,brand[0].reviewer_name,brand[1].reviewer_name,brand[2].reviewer_name,brand[0].review,brand[1].review,brand[2].review,brand[0].rating,brand[1].rating,brand[2].rating,brand[0].source,brand[1].source,brand[2].source,reviews[0],reviews[1],reviews[2],reviews[3],reviews[4],reviews[5],reviews[6],reviews[7],reviews[8],reviews[9],reviews[10],reviews[11],reviews[12],reviews[13],reviews[14],reviews[15],reviews[16],reviews[17],reviews[18],reviews[19],reviews[20],reviews[21],reviews[22],reviews[23],reviews[24],reviews[25],reviews[26],reviews[27],reviews[28],reviews[0].review_name,reviews[1].review_name,reviews[2].review_name,reviews[3].review_name,reviews[4].review_name,reviews[5].review_name,reviews[6].review_name,reviews[7].review_name,reviews[8].review_name,reviews[9].review_name,reviews[10].review_name,reviews[11].review_name,reviews[12].review_name,reviews[13].review_name,reviews[14].review_name,reviews[15].review_name,reviews[16].review_name,reviews[17].review_name,reviews[18].review_name,reviews[19].review_name,reviews[20].review_name,reviews[21].review_name,reviews[22].review_name,reviews[23].review_name,reviews[24].review_name,reviews[25].review_name,reviews[26].review_name,offers[0].offer,how_to_use,,image
65648c4fbe824771daebdad3,Carrefour Bio Apple Puree 625g,"Carrefour Bio,Carrefour",Apple compote is a fresh fruit dessert that is ideal for enjoying after your meal.It is made from the blend of apple essence that refreshes you after a heavy meal.,"Carrefour Bio Apple puree is a 100% organic apple puree with no added sugar or preservatives, cooked with love for you and your family. This puree is full of the natural, juicy flavor of apples and makes a great addition to any recipe. It's suitable for vegans, gluten-free, kosher and vegetarian diets. This convenient 625g pack is perfect for making a variety of dishes and provides a healthy, delicious alternative to other pre-packaged apple purees. Enjoy the delicious goodness of Carrefour Bio Apple Puree today.",Food & Beverages,Amazon,Rai,Laila,,,,,,,,This is an apple purée made with local and organic apples. A very nice andhealthy snack.,My kid loved it,Good,,,,,,,,,,,,,,,,,,,,,,,,,chiaraclaire,Verofax,Noon,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,"Organic, EU Organic, EU Agriculture, FR-BIO-01, Green Dot, Made in France, AB Agriculture Biologique",Eco-Score B Low environmental impact,Carrefour,France,3.56E+12,https://consumerappimages.blob.core.windows.net/productimages/puree.jpg,puree.jpg,Organic,9.6,0.2,195,99.9,1.3,Organic apple puree 81.9%,organic banana puree 18%,antioxidant: ascorbic acid,EGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65648c63be824771daebdad5,Coca Cola Soft Drink - Diet Coke 500 ml Bottle,The Coca-Cola Company,"Diet Coke (also branded as Coca-Cola Light, Coca-Cola Diet or Coca-Cola Light Taste) is a sugar-free and low-calorie soft drink produced and distributed by the Coca-Cola Company. It contains artificial sweeteners instead of sugar.","Coca-Cola is a carbonated, sweetened soft drink and is the world's best-selling soda. A popular nickname for Coca-Cola is Coke. The Coca-Cola Company claims that the beverage is sold in more than 200 countries.",Beverages,Ruchita,Sujatha,Rithvi,,,,,,,,"As my husband is diabetic but loves Coke, this is the perfect product for him.",Very Good standard product,Great! - just what I wanted :-),,,,,,,,,,,,,,,,,,,,,,,,,Big basket,Verofax,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,Coca-Cola has implemented water replenishment programs to give back an equivalent amount of water used in its beverages and their production to local communities and nature.\nThe company has committed to making all its packaging recyclable by 2025., ,Coca-Cola,‎United Arab Emirates,,https://consumerappimages.blob.core.windows.net/productimages/coke_diet.jpg,coke_diet.jpg,,0,0,1.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45E+12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65648c71be824771daebdad7,Coca Cola Zero - 355 ml,The Coca-Cola Company,Carbonated beverage delivers the same classic taste you've always enjoyed without the sugar. Caffeinated soda is a calorie-free beverage with a distinctive flavor. Convenient can is excellent for on-the-go,"Coca-Cola is a carbonated, sweetened soft drink and is the world's best-selling soda. A popular nickname for Coca-Cola is Coke. The Coca-Cola Company claims that the beverage is sold in more than 200 countries.",Beverages,Yash,Maheera,Lawrence,,,,,,,,Coca Cola with less calories.,Refreshing,Great! - just what I wanted :-),,,,,,,,,,,,,,,,,,,,,,,,,Big basket,Verofax,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,Coca-Cola has implemented water replenishment programs to give back an equivalent amount of water used in its beverages and their production to local communities and nature.\nThe company has committed to making all its packaging recyclable by 2025. , ,Coca-Cola,‎United Arab Emirates,,https://consumerappimages.blob.core.windows.net/productimages/zero_coke.jpg,zero_coke.jpg,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45E+12,0,40,2.90 AED,2.50 AED,2.50 AED,noon,vegetablesouk,carrefouruae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6566fd6aa2c8fc720c4ebd23,Nivea soft creme hidratante intensivo,Nivea,"The key to soft, beautiful skin has arrived with NIVEA Soft, Refreshingly Soft Moisturizing Cream. NIVEA Soft is an all-in-one refreshing body cream, face moisturizer and hand cream that delivers long-lasting moisture and soft, supple skin. NIVEA Soft has a refreshingly light formula enriched with Jojoba Oil and Vitamin E for softer, smoother skin without that greasy feel. This fast absorbing moisturizer is perfect for all skin types. Complete your hand washing routine with NIVEA Soft cream and give dry hands the soothing skincare they deserve. To use, smooth NIVEA Soft, Refreshingly Soft Moisturizing Cream onto your skin daily. For best results, apply after showering. NIVEA is proud to be one of the leading companies in the field of skin care products, with more than 130 years of expertise.","NIVEA believes in working with your skin's own biology for being your naturally beautiful best. Therefore, we offer the right product for all skin types and all ages. When Beiersdorf introduced its pioneering NIVEA Milk, the first “liquid cream” in 1963, it opened up a brand-new dimension of skin care.",Health & Beauty,Martijo,Maddox Stevens,Paradise,,,,,,,,I have never seen such a huge jar of these. Especially for the price. I use this on my face keeps it moist and smooth looking. Love it.,I love the richness of this cream and the soothing characteristics. It is very affordable for its richness and I am very happy with it!,This is the best moisturizer I’ve ever used. It’s not too thick and it really melts into the skin nicely. I really appreciate this because my skin is super sensitive and this doesn’t break my skin out more.,,,,,,,,,,,,,,,,,,,,,,,,,Amazon,Noon,Verofax,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,"Nivea soft creme hidratante intensivo is a moisturising cream that contains 95%+ ingredients of natural origin along with eco-friendly packaging2. The formula is 99% biodegradable*, microplastic-free and works in balance with your skin’s own microbiome.",,Beiersdorf,Mexico,4.01E+12,https://consumerappimages.blob.core.windows.net/productimages/nivea_soft.jpg,nivea_soft.jpg,,,,,,,Glyceryl Stearate,Myristyl Alcohol,Cetyl Phosphate,Stearic Acid,Water,Carbomer,Butylene Glycol,Glycerin,Polyglyceryl-2 Caprate,Hydrogenated Coco-Glycerides,Simmondsia Chinensis (Jojoba) Seed Oil,Dimethicone,Lanolin Alcohol,Sodium Hydroxide,Tocopheryl Acetate (Vitamin E),Methylparaben,Alcohol Denat.,Ethylparaben,Phenoxyethanol,Petrolatum,Butylparaben,Isobutylparaben,Propylparaben,Fragrance,Mineral Oil,Myristyl Myristate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6566fd95a2c8fc720c4ebd27,Olay Regenerist Micro-Sculpting Cream Fragrance-Free,Olay,A facial cream that nourishes and revitalizes skin.,"Olay (formerly known as Oil of Olay,) is a Procter & Gamble-owned American skin care company.Olay was the first mass skincare brand to use peptides.",Health & Beauty,Ali,Amrin,Shweta Grover,,,,,,,,"After deviating from Neutrogena moisturizer which I had used faithfully for years, wasn't sure what to use and after some clicks here and there, came across this one and opted to give it a try. It does moisturize the skin, has no scent and I've not experienced any break-outs or irritation so far. Just couldn't keep up with the insane price hike for Neutrogena!","If you use just a little dab, which is all you should need unless skin is extremely dry, the scent is not very strong. I’m in my young 60s and enjoy this product for its hydration ability.",I likes it cz I think it works for my skin.,,,,,,,,,,,,,,,,,,,,,,,,,Amazon,Verofax,Noon,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,"Olay is not a fully sustainable product, as it has some issues with animal testing and environmental transparency. However, it does have some positive aspects, such as using clean ingredients and recyclable packaging.",,Procter & Gamble,United States,,https://consumerappimages.blob.core.windows.net/productimages/olay_cream.jpg,olay_cream.jpg,,,,,,,C12-13 Pareth-3,C13-14 Isoparaffin,Niacinamide,Nylon-12,Dimethiconol,Disodium EDTA,Panthenol,Behenyl Alcohol,Cetearyl Glucoside,Cetearyl Alcohol,Cetyl Alcohol,Soluble Collagen,Stearic Acid,Stearyl Alcohol,Isopropyl Isostearate,Isohexadecane,Water,Carnosine,Caprylic/Capric Triglyceride,Elastin,Sodium Hyaluronate,Glycerin,Palmitoyl Pentapeptide-4,Polyethylene,Mica,Citric Acid,Aluminum Starch Octenylsuccinate,Ammonium Polyacrylate,Tin Oxide,Camellia Sinensis Leaf Extract,Dimethicone,Laureth-7,Sodium Acrylates Copolymer,Sodium Hydroxide,Tocopheryl Acetate (Vitamin E),PEG-100 Stearate,Allantoin,Methylparaben,Ethylparaben,Polyacrylamide,Benzyl Alcohol,Propylparaben,Aloe Barbadensis Leaf Juice,Titanium Dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6566fdcda2c8fc720c4ebd2b,CeraVe Moisturising Lotion for Dry to Very Dry Skin (US/EU Random Packing Pick) 236ml/8oz,Cerave,"Cerave Moisturizing Lotion (236ml) The CeraVe moisturizing lotion for face and body developed by dermatologists provides intensive moisture and supports the renewal of the skin's protective barrier. Thanks to 3 essential ceramides and hyaluronic acid, the light, non-greasy lotion provides moisture all day long from the first application. It is very suitable both as a body lotion and as a facial care for sensitive, dry skin and neurodermatitis. Without perfume. The independent ECARF institute has confirmed that the CeraVe moisturizing lotion is particularly suitable for the needs of allergy sufferers. Apply generously as often as you like. Suitable for adults and children. Perfume free. Not comedogenic. Confirmed compatibility.",CeraVe offers a complete line of skincare products that contain three essential ceramides enhanced with a revolutionary delivery system to help restore the skin's natural protective barrier.,Health & Beauty,Sara,Vitalli,Baria,,,,,,,,Really good absorption and skin feels lovely after,Cerave is aways a stand out in every product. Their moisturizer is lovely,I tried this moisturizer first time and I am surprised that it's so good.My skin is so dry and rough this make my skin so nourishing and hydrating.,,,,,,,,,,,,,,,,,,,,,,,,,Amazon,Verofax,Noon,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,"Cerave cannot be considered sustainable as CeraVe does not leverage recycled shipping materials or deploy carbon offsets. The company uses plastic containers to package its products, which may not be recyclable depending on your municipality’s program. \nRegarding environmentally unfriendly ingredients, many CeraVe Products contain dimethicone, which is a common palm oil derivative and Petrolatum erived from petroleum (oil).",,Loreal,France,,https://consumerappimages.blob.core.windows.net/productimages/cerave_lotion.jpg,cerave_lotion.jpg,,,,,,,Disodium EDTA,Dipotassium Phosphate,Behentrimonium Methosulfate,Ceramide 1,Ceramide 6 II,Ceramide 3,Cetearyl Alcohol,Cetyl Alcohol,Sodium Lauroyl Lactylate,Xanthan Gum,Water,Carbomer,Caprylic/Capric Triglyceride,Glycerin,Cholesterol,Potassium Phosphate,Polyglyceryl-3 Diisostearate,Phytosphingosine,Hyaluronic Acid,Dimethicone,Polysorbate 20,Methylparaben,Propylparaben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6566fdeda2c8fc720c4ebd2f,Loreal Paris Infallible 32H Matte Cover Long-Lasting Foundation SPF 30 Ml,L'Oréal Paris,"Combining a high-pigment concentration with a smooth fluid formula, the L'Oréal Paris Infallible 32hr Matte Cover Foundation delivers up to 32 hours of full matte coverage. The liquid foundation blends effortlessly onto the skin to provide a natural-looking, second-skin finish with a lightweight feel. The formula is infused with 4% niacinamide to help reduce the appearance of uneven tone, alongside SPF25 for UV protection. Waterproof and transfer-resistant, the foundation offers long-wearing coverage with a shine-proof finish.","L'Oréal Paris is the world's leading cosmetics brand, making the best of luxury beauty available and accessible to everyone. From makeup and skincare to hair care and hair colour, our pioneering spirit leads our scientific excellence and restless innovation.\n",Health & Beauty,Chandeni,Tareq,Samar,,,,,,,,Use this at work as an alternative to my estee Lauder and it’s the perfect alternative - it’s still full coverage and lasts me all day 10/10,"This is my absolute favourite go to everyday use foundation, love the price love the coverage, I've repurchased many times and means I don't have to use my expensive foundation as frequently. I have combination skin as well as facial psoriasis and it covers quite well. I wouldn't necessarily say it lasts 32 hours but it lasts well.",It is a good foundation with a low price tag,,,,,,,,,,,,,,,,,,,,,,,,,Amazon,Noon,Verofax,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,THE ENVIRONMENTAL IMPACT SCORE is B. The classification is a reflection of \na product’s impact compared to other products offering the \nsame kind of cosmetic service on a scale from A to E. An “A” product can thereby be \nconsidered “best in class” in terms of environmental impact \nacross the total range of evaluated L’Oréal product. 100 % of the  bottle are made of  recycled material.,,L'Oréal,France,,https://consumerappimages.blob.core.windows.net/productimages/loreal_found.jpg,loreal_found.jpg,,,,,,,Disodium Stearoyl Glutamate,Disteardimonium Hectorite,Magnesium Gluconate,Magnesium Sulfate,Acrylates/Polytrimethylsiloxymethacrylate Copolymer,Aluminum Hydroxide,Isononyl Isononanoate,Isododecane,Isohexadecane,Water,Caprylyl Glycol,Calcium Gluconate,Butylene Glycol,Perlite,Pentylene Glycol,Synthetic Fluorphlogopite,CI 77492,Tocopherol (Vitamin E),Acrylates Copolymer,Dimethicone,Bis-PEG/PPG-14/14 Dimethicone,PEG-10 Dimethicone,Phenoxyethanol,Silica,Titanium Dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60E+12,,,36 AED,,,lookfantastic,,,lookfantastic,,Save 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656870c5a89a87e95af9bbcb,Monster Energy Ultra Gold,MONSTER,"Ultra Gold is a zero sugar energy drink, making it a suitable choice for those who want to avoid consuming excessive calories or experiencing a sugar crash","Monster Energy drinks are manufactured by Monster Beverage Corporation, a leading American functional beverage company",Beverages,Amazon,Rai,Laila,,,,,,,,Favourite Monster flavour!,Exactly what it should be,Refreshing one,,,,,,,,,,,,,,,,,,,,,,,,,chiaraclaire,Verofax,Noon,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,Efforts to use more sustainable packaging materials.Encouragement of recycling among consumers and implementing recycling programs,,Monster Beverage Corporation,United States,,https://consumerappimages.blob.core.windows.net/productimages/monster_gold.jpg,monster_gold.jpg,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34E+12,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657167e42e803995cecf1cff,Almarai Fresh Laban Full Fat 360ml,Almarai,"Almarai Full Fat Fresh Laban With Added Vitamins 360ml is a refreshing and nutritious drink that is rich in vitamins. Made from full-fat cow's milk, this laban is packed with essential nutrients and probiotics that promote good gut health. Enjoy it on its own or use it as a base for smoothies and other recipes.","Almarai is the leading dairy and juice company in Saudi Arabia offering a wide range of products from Dairy Liquids, Juices, Foods, Yogurts & Desserts.",Food & Beverages,Ruthylyn agraan,Fathima Selma,Jay,,,,,,,,"Almarai products number one for me,best quality and good to al",Almarai's Laban is one of the best.. it refreshes you and help you keep hydrated after coming from the hot sun,Alamari is the product which one can trust with closed eyes,,,,,,,,,,,,,,,,,,,,,,,,,clipthedeal,Amazon,Noon,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,Enhance sustainable practices on our arable farms by 2025.Reduce waste going to landfill across all our divisions by 50% by 2025.Ensure Sustainable Access to Water Resources,D,Saudi multinational dairy company,Saudi Arabia,,https://consumerappimages.blob.core.windows.net/productimages/almarai_360.jpg,almarai_360.jpg,,4.8,2.4,251,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28E+12,3.2,0.11,2.75 AED,2.75 AED,2.75 AED,luluhypermarket,carrefouruae,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65716e152e803995cecf1d01,L’usine Cheese & Zaatar Puff,L’usine,"L’usine Cheese & Zaatar Puff, a pastry with a soft and smooth texture, with a delicious thyme filling and cheese rich in protein and dietary fiber, is a great breakfast option.","Almarai is the leading dairy and juice company in Saudi Arabia offering a wide range of products from Dairy Liquids, Juices, Foods, Yogurts & Desserts.",Food & Beverages,Siddharth,Fathima Selma,Sanjay,,,,,,,,"Almarai products number one for me,best quality and good to al",Great taste! Worth if bought for right price., My USA returned daughter loved it.,,,,,,,,,,,,,,,,,,,,,,,,,clipthedeal,Amazon,Noon,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,Enhance sustainable practices on our arable farms by 2025.Reduce waste going to landfill across all our divisions by 50% by 2025.Ensure Sustainable Access to Water Resources,,Saudi multinational dairy company,Saudi Arabia,,https://consumerappimages.blob.core.windows.net/productimages/luisine_puff.jpg,luisine_puff.jpg,,6,7,1163,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28E+12,7,0.32,2.0 AED,2.0 AED,2.10 AED,carrefouruae,Amazon,luluhypermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
